opencpnName,category,matchKind,esriName,opencpnColorRefs,opencpnDayColors,opencpnBitmap,matchReason
"BOYPIL60","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCHRED","","rastersymbols-day.png:1067,358,18x18@9,14","semantic token match for BOYPIL"
"BOYPIL61","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCHGRN","","rastersymbols-day.png:1095,358,18x18@9,14","semantic token match for BOYPIL"
"BOYPIL62","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCHYLW","","rastersymbols-day.png:1123,358,18x18@9,14","semantic token match for BOYPIL"
"BOYPIL63","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLK","","rastersymbols-day.png:1151,358,18x18@9,14","semantic token match for BOYPIL"
"BOYPIL64","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCURSR","","rastersymbols-day.png:1179,358,18x18@9,14","semantic token match for BOYPIL"
"BOYPIL65","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCHGRD","","rastersymbols-day.png:1207,358,18x18@9,14","semantic token match for BOYPIL"
"BOYPIL66","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCHREDDCHGRN","","rastersymbols-day.png:1235,358,18x18@9,14","semantic token match for BOYPIL"
"BOYPIL67","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCHGRNDCHRED","","rastersymbols-day.png:1263,358,18x18@9,14","semantic token match for BOYPIL"
"BOYPIL68","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCOUTLWDCHYLW","","rastersymbols-day.png:1291,358,18x18@9,14","semantic token match for BOYPIL"
"BOYPIL69","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCHYLWDOUTLW","","rastersymbols-day.png:1319,358,18x18@9,14","semantic token match for BOYPIL"
"BOYPIL70","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCOUTLWDCHYLW","","rastersymbols-day.png:1347,358,18x18@9,14","semantic token match for BOYPIL"
"BOYPIL71","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCHYLWDOUTLW","","rastersymbols-day.png:1375,358,18x18@9,14","semantic token match for BOYPIL"
"BOYPIL72","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCOUTLWDCHRED","","rastersymbols-day.png:1403,358,18x18@9,14","semantic token match for BOYPIL"
"BOYPIL73","POINT","SEMANTIC_TOKEN","Q22a_Spherical_buoy.svg","ADEPMDBCHBLKCCHREDDCHWHT","","rastersymbols-day.png:1431,358,18x18@9,14","semantic token match for BOYPIL"
